Facility Type Code,Product Code,Program Code,Max months of stock
hc,A41099,em,3
hc,A427826,em,3
hc,S00056L,em,3
hc,A53007D,em,3
hc,P200563,em,3
dh,A41099,em,3
dh,A427826,em,3
dh,S00056L,em,3
dh,A53007D,em,3
dh,P200563,em,3
dh,A581453,em,3
nh,A41099,em,6
nh,A427826,em,6
nh,S00056L,em,6
nh,A53007D,em,6
nh,P200563,em,6
nh,A581453,em,6
disp,A41099,malaria,3
disp,KM3375-2,malaria,3
disp,P000833,malaria,3
disp,N-378013,malaria,3
disp,P-228438,malaria,3
hp,A41099,malaria,3
hp,KM3375-2,malaria,3
hp,P000833,malaria,3
hp,P-228438,malaria,3
dh,A41099,malaria,3
dh,KM3375-2,malaria,3
dh,P000833,malaria,3
dh,N-378013,malaria,3
dh,P-228438,malaria,3
hc,P10048,art,3
hc,P12573,art,3
hc,S00056L,art,3
hc,A53007D,art,3
dh,P10048,art,3
dh,P12573,art,3
dh,S00056L,art,3
dh,A53007D,art,3
